column,name,dtype,semantic,missing_pct,numeric_summary,categorical_summary
ft_max,ft_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 6.423250056268287, 'median': 6.0, 'std': 2.801985608696962, 'var': 7.851123351344884, 'min': 1.0, 'p10': 3.0, 'p25': 4.0, 'p50': 6.0, 'p75': 8.0, 'p90': 10.0, 'max': 26.0, 'skew': 1.140529893110945, 'kurtosis': 2.0551979905408437, 'iqr': 4.0, 'mad': 2.0, 'outlier_count_iqr': 253}",
fta_max,fta_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 7.849594868332208, 'median': 7.0, 'std': 3.237968358527466, 'var': 10.48443909082505, 'min': 1.0, 'p10': 4.0, 'p25': 6.0, 'p50': 7.0, 'p75': 10.0, 'p90': 12.0, 'max': 36.0, 'skew': 1.145501482710389, 'kurtosis': 2.397953493091946, 'iqr': 4.0, 'mad': 2.0, 'outlier_count_iqr': 323}",
ft%_max,ft%_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 0.9914008552779653, 'median': 1.0, 'std': 0.04381614042413906, 'var': 0.001919854161667873, 'min': 0.4, 'p10': 1.0, 'p25': 1.0, 'p50': 1.0, 'p75': 1.0, 'p90': 1.0, 'max': 1.0, 'skew': -5.899757132885195, 'kurtosis': 39.6293678988876, 'iqr': 0.0, 'mad': 0.0, 'outlier_count_iqr': 783}",
orb_max,orb_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 3.7260859779428315, 'median': 3.0, 'std': 1.6522670184286625, 'var': 2.729986300187142, 'min': 0.0, 'p10': 2.0, 'p25': 3.0, 'p50': 3.0, 'p75': 5.0, 'p90': 6.0, 'max': 13.0, 'skew': 0.999971139104253, 'kurtosis': 1.510526795227201, 'iqr': 2.0, 'mad': 1.0, 'outlier_count_iqr': 223}",
drb_max,drb_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 8.758609047940581, 'median': 8.0, 'std': 2.5441068135364144, 'var': 6.472479478682407, 'min': 3.0, 'p10': 6.0, 'p25': 7.0, 'p50': 8.0, 'p75': 10.0, 'p90': 12.0, 'max': 23.0, 'skew': 0.880270842470591, 'kurtosis': 1.1260920047707046, 'iqr': 3.0, 'mad': 2.0, 'outlier_count_iqr': 529}",
trb_max,trb_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 11.273295070898042, 'median': 11.0, 'std': 3.239085948333318, 'var': 10.491677780690349, 'min': 4.0, 'p10': 8.0, 'p25': 9.0, 'p50': 11.0, 'p75': 13.0, 'p90': 16.0, 'max': 30.0, 'skew': 0.8798657957102499, 'kurtosis': 1.159707972285993, 'iqr': 4.0, 'mad': 2.0, 'outlier_count_iqr': 355}",
ast_max,ast_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 7.66520369119964, 'median': 7.0, 'std': 2.6785459077206264, 'var': 7.174608179766915, 'min': 2.0, 'p10': 5.0, 'p25': 6.0, 'p50': 7.0, 'p75': 9.0, 'p90': 11.0, 'max': 25.0, 'skew': 0.9264674924491844, 'kurtosis': 1.2846741149692642, 'iqr': 3.0, 'mad': 2.0, 'outlier_count_iqr': 596}",
stl_max,stl_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 2.5770312851676795, 'median': 2.0, 'std': 1.050830791867768, 'var': 1.1042453531374403, 'min': 0.0, 'p10': 1.0, 'p25': 2.0, 'p50': 2.0, 'p75': 3.0, 'p90': 4.0, 'max': 10.0, 'skew': 0.8634997746977171, 'kurtosis': 1.494231557885712, 'iqr': 1.0, 'mad': 1.0, 'outlier_count_iqr': 847}",
blk_max,blk_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 2.135268962412784, 'median': 2.0, 'std': 1.146880432269201, 'var': 1.3153347259219892, 'min': 0.0, 'p10': 1.0, 'p25': 1.0, 'p50': 2.0, 'p75': 3.0, 'p90': 4.0, 'max': 11.0, 'skew': 1.222914782306981, 'kurtosis': 2.735537037188503, 'iqr': 2.0, 'mad': 1.0, 'outlier_count_iqr': 69}",
tov_max,tov_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 4.011534998874634, 'median': 4.0, 'std': 1.4364922381317435, 'var': 2.0635099502127456, 'min': 1.0, 'p10': 2.0, 'p25': 3.0, 'p50': 4.0, 'p75': 5.0, 'p90': 6.0, 'max': 12.0, 'skew': 0.8760769644706178, 'kurtosis': 1.1323241708362, 'iqr': 2.0, 'mad': 1.0, 'outlier_count_iqr': 137}",
